caption,caption_norm,nama_tempat,jam_operasional,alamat,kota,akun_instagram,open_time,close_time,is_24h,is_overnight,menu_category,function_category
"Salah satu yang bikin seneng ngopi di Roastery itu bisa milih mau pakai beans apa buat minuman yang kita pesen. 
Selain itu juga bisa lebih ada interaksi dengan barista ngobrolin ngalor ngidul soal perkopian.

Nah hal itu yang beberapa waktu lalu kami temui di salah satu roastery baru di Jogja yang vibesnya homey banget. Nama tempatnya @168roaststudio yang tersembunyi di rimbunnya daerah Pringwulung.

Buat yang lagi suka dirty latte dan bingung mau nyoba yang versi Jepang atau Thailand, mereka punya keduanya ya!

Mereka juga ada promo ngopi pagi black 15K dan white 18K. Dah langsung datengin aja ya!

168 Roast Studio @168roaststudio 
08:00 ——— 22:00
Jl. Tantular, Pringwulung, Condongcatur, Depok, Sleman, Yogyakarta 

#coffeeshopjogja #jogjacoffeeshop #roasteryjogja","salah satu yang bikin seneng ngopi di roastery itu bisa milih mau pakai beans apa buat minuman yang kita pesen. 
selain itu juga bisa lebih ada interaksi dengan barista ngobrolin ngalor ngidul soal perkopian.
nah hal itu yang beberapa waktu lalu kami temui di salah satu roastery baru di jogja yang vibesnya homey banget. nama tempatnya @168roaststudio yang tersembunyi di rimbunnya daerah pringwulung.
buat yang lagi suka dirty latte dan bingung mau nyoba yang versi jepang atau thailand, mereka punya keduanya ya 
mereka juga ada promo ngopi pagi black 15k dan white 18k. dah langsung datengin aja ya 
168 roast studio @168roaststudio 
08 00 - 22 00
jl. tantular, pringwulung, condongcatur, depok, sleman, yogyakarta 
#coffeeshopjogja #jogjacoffeeshop #roasteryjogja",168 Roast Studio,08:00 - 22:00,"Jl. Tantular, Pringwulung, Condongcatur, Depok, Sleman, Yogyakarta",Sleman,@168roaststudio,08:00,22:00,False,False,['kopi'],['dating']
"Buat yang males macet-macetan dan pengen suasana ijo-ijo tenang bisa nih kesini 🍃✨

Salah satu coffee shop baru di Jogja yang nyaman buat WFC, ngopi bareng temen ataupun makan bareng keluarga juga bisa banget karena menu makanannya proper 👌🏻

Detailnya cek di carousel post ya! 🙌🏻

Teduh Garden & Coffee @teduh_garden_coffee 
10:00 ——— 23:00
Jl. Sidomukti, Tiyosan, Condongcatur, Depok, Sleman, Yogyakarta

#coffeeshopjogja #jogjacoffeeshop #coffeeshopbarujogja","buat yang males macet-macetan dan pengen suasana ijo-ijo tenang bisa nih kesini 
salah satu coffee shop baru di jogja yang nyaman buat wfc, ngopi bareng temen ataupun makan bareng keluarga juga bisa banget karena menu makanannya proper 
detailnya cek di carousel post ya 
teduh garden coffee @teduh garden coffee 
10 00 - 23 00
jl. sidomukti, tiyosan, condongcatur, depok, sleman, yogyakarta
#coffeeshopjogja #jogjacoffeeshop #coffeeshopbarujogja",Teduh Garden & Coffee,10:00 - 23:00,"Jl. Sidomukti, Tiyosan, Condongcatur, Depok, Sleman, Yogyakarta",Sleman,@teduh_garden_coffee,10:00,23:00,False,False,['makanan'],['wfc']
"Coffee shop 24 jam baru di tengah kota Jogja: Cold ‘N Brew Malioboro!

Kirain di area Malioboro sini udah nggak bakal ada space luas lega, semilir angin sepoi, cozy & adem, ternyata kami salah setelah kemarin banget nyobain cabang terbarunya @coldnbrew di Malioboro ini.

Pertama tempatnya luas, nggak cuma bangunannya aja tapi juga area parkirnya luas, jarang-jarang kan apalagi deket Malioboro yang punya area parkir luas gini jadi nggak susah sendiri cari parkirnya. Kedua fasilitasnya lengkap, mulai dari indoor ac, smoking ac, outdoor, semi outdoor, meeting room hingga mushola semuanya ada. Terakhir mereka buka 24 guys! Kurang apa lagi coba?

Seperti cabang lainnya @coldnbrew Malioboro ini enak banget buat nugas/WFC, ac adem, banyak seating area dan pilihan menunya banyak!

Fix ini salah satu penemuan terbaik coffee shop baru di tengah kota sih ✨ 

Cold ‘N Brew Malioboro @coldnbrew
24 Jam
Jl. Mataram, Yogyakarta

#coldnbrewmalioboro #coldnbrew #coldnbrewjogja #coffeeshopjogja #jogjacoffeeshop","coffee shop 24 jam baru di tengah kota jogja cold n brew malioboro 
kirain di area malioboro sini udah nggak bakal ada space luas lega, semilir angin sepoi, cozy adem, ternyata kami salah setelah kemarin banget nyobain cabang terbarunya @coldnbrew di malioboro ini.
pertama tempatnya luas, nggak cuma bangunannya aja tapi juga area parkirnya luas, jarang-jarang kan apalagi deket malioboro yang punya area parkir luas gini jadi nggak susah sendiri cari parkirnya. kedua fasilitasnya lengkap, mulai dari indoor ac, smoking ac, outdoor, semi outdoor, meeting room hingga mushola semuanya ada. terakhir mereka buka 24 guys kurang apa lagi coba 
seperti cabang lainnya @coldnbrew malioboro ini enak banget buat nugas wfc, ac adem, banyak seating area dan pilihan menunya banyak 
fix ini salah satu penemuan terbaik coffee shop baru di tengah kota sih 
cold n brew malioboro @coldnbrew
24 jam
jl. mataram, yogyakarta
#coldnbrewmalioboro #coldnbrew #coldnbrewjogja #coffeeshopjogja #jogjacoffeeshop",Cold ‘N Brew Malioboro,24 Jam,"Jl. Mataram, Yogyakarta",Yogyakarta,@coldnbrew,00:00,23:59,True,False,[],['wfc']
"Tempat ini beneran ngasih solusi buat kalian yang di musim liburan ini bingung mau ngapain atau males pergi-pergi karena macet dimana-mana: ngopi, main PS, netflixan, sampai ngechill di rooftop yang asik semua bisa kalian lakuin!

Jadi ini tu @318.idn (coffee & PlayStation) yang belum lama buka di Demangan. Mereka total punya 4 lantai: lantai 1 area bar & working space cocok buat nugas, lantai 2 regular PlayStation area (ps4), lantai 3 VVIP PlayStation area (private room ps5) dan lantai 4 rooftop! 

Buat menunya disini ada Mont Blanc yang lagi banyak dicari tuh, cukup balance dan smooth. Whitenya juga full arabica, matchanya ngga kemanisan terus ada cake & juga pastry ya buat temen minum!

Beneran deh daripada emosi dijalan mendingan ngabisin waktu disini kan 😎

318 Coffee & Playstation @318.idn 
24 JAM
Jl. Affandi, Demangan, Yogyakarta 

#coffeeshopjogja #jogjacoffeeshop #psjogja #coffeeshopbarujogja coffeeshop24jamjogja","tempat ini beneran ngasih solusi buat kalian yang di musim liburan ini bingung mau ngapain atau males pergi-pergi karena macet dimana-mana ngopi, main ps, netflixan, sampai ngechill di rooftop yang asik semua bisa kalian lakuin 
jadi ini tu @318.idn coffee playstation yang belum lama buka di demangan. mereka total punya 4 lantai lantai 1 area bar working space cocok buat nugas, lantai 2 regular playstation area ps4 , lantai 3 vvip playstation area private room ps5 dan lantai 4 rooftop 
buat menunya disini ada mont blanc yang lagi banyak dicari tuh, cukup balance dan smooth. whitenya juga full arabica, matchanya ngga kemanisan terus ada cake juga pastry ya buat temen minum 
beneran deh daripada emosi dijalan mendingan ngabisin waktu disini kan 
318 coffee playstation @318.idn 
24 jam
jl. affandi, demangan, yogyakarta 
#coffeeshopjogja #jogjacoffeeshop #psjogja #coffeeshopbarujogja coffeeshop24jamjogja",318 Coffee & Playstation,24 Jam,"Jl. Affandi, Demangan, Yogyakarta",Yogyakarta,@318.idn,00:00,23:59,True,False,"['kopi', 'dessert']",['wfc']
"Nambah lagi tempat ngopi luas 24 jam di tengah kota! Jadi ini tu cabang Kopi Nako ke-66 dan outlet ke-3 Kopi Nako Rumah Sangrai setelah Bogor & Jakarta.

Nah selain mengusung rumah sangrai nyamenariknya lagi yang di Jogja ini mereka ada ruang baca! Nggak berhenti disitu, buat yang udah familiar sama soto dalbe, mereka kasih space khusus buat soto dalbe buka di area samping depan deket area parkir.

Bener-bener bakal jadi one stop ngopi, wfc, nongkrong, baca buku dan makan soto dalbe sih ini!

Kopi Nako Rumah Sangrai - Jogja @kopinako_jogja
24 jam
Jl. Jend. Sudirman, Kotabaru, Yogyakarta (eks gedung tribun/barat gramedia persis)

#coffeeshopjogja #jogjacoffeeshop #coffeeshopbarujogja #kopinako #kopinakojogja","nambah lagi tempat ngopi luas 24 jam di tengah kota jadi ini tu cabang kopi nako ke-66 dan outlet ke-3 kopi nako rumah sangrai setelah bogor jakarta.
nah selain mengusung rumah sangrai nyamenariknya lagi yang di jogja ini mereka ada ruang baca nggak berhenti disitu, buat yang udah familiar sama soto dalbe, mereka kasih space khusus buat soto dalbe buka di area samping depan deket area parkir.
bener-bener bakal jadi one stop ngopi, wfc, nongkrong, baca buku dan makan soto dalbe sih ini 
kopi nako rumah sangrai - jogja @kopinako jogja
24 jam
jl. jend. sudirman, kotabaru, yogyakarta eks gedung tribun barat gramedia persis 
#coffeeshopjogja #jogjacoffeeshop #coffeeshopbarujogja #kopinako #kopinakojogja",Kopi Nako Rumah Sangrai - Jogja,24 Jam,"Jl. Jend. Sudirman, Kotabaru, Yogyakarta (eks gedung tribun/barat gramedia persis)",Yogyakarta,@kopinako_jogja,00:00,23:59,True,False,"['kopi', 'makanan']","['wfc', 'hangout']"
"Akhirnya ada tempat yang bisa buat ngopi enak, tempat luas, bisa nongkrong ramean bareng temen bisa WFC, ada view sawah dalam satu tempat proper ✨

Iya ini tu gerbrakan terbaru dari Bento Group yang baru aja buka “Bento Coffee” dengan menu-menu kopinya yang lebih serius dan udah pakai full 100% arabica ya!

Bento Coffee Seturan @bentocoffee.idn
07:00 ——— 24:00
Seturan, Kledokan, Caturtunggal, Sleman, YK

#coffeeshopjogja #jogjacoffeeshop #coffeeshopbarujogja

Tempatnya pun juga menurut kami sangat ideal dan enak banget buat sekedar ngopi, nongkorong bareng temen-temen, nugas maupun WFC. Satu lagi, ada view sawah ijo-ijo 🍃😍

Udah pada kesini? Gas lah mumpung udah weekend ✨","akhirnya ada tempat yang bisa buat ngopi enak, tempat luas, bisa nongkrong ramean bareng temen bisa wfc, ada view sawah dalam satu tempat proper 
iya ini tu gerbrakan terbaru dari bento group yang baru aja buka bento coffee dengan menu-menu kopinya yang lebih serius dan udah pakai full 100 arabica ya 
bento coffee seturan @bentocoffee.idn
07 00 - 24 00
seturan, kledokan, caturtunggal, sleman, yk
#coffeeshopjogja #jogjacoffeeshop #coffeeshopbarujogja
tempatnya pun juga menurut kami sangat ideal dan enak banget buat sekedar ngopi, nongkorong bareng temen-temen, nugas maupun wfc. satu lagi, ada view sawah ijo-ijo 
udah pada kesini gas lah mumpung udah weekend",Bento Coffee Seturan,07:00 - 24:00,"Seturan, Kledokan, Caturtunggal, Sleman, YK",Sleman,@bentocoffee.idn,07:00,23:59,False,False,['kopi'],"['wfc', 'hangout']"
"Salah satu andalan warga jakal atas buat WFC-an nih, masih ada promo ngopi pagi 15rb aja!

Buat kalian yang nugas harus di coffee shop dan ditemenin es kopi susu tempat ini bakalan cocok karena vibesnya emang dibikin buat nugas banget dan ada banyak pilihan menu es kopi susu maupun non coffee, range harganya ada di 14rb-24rb aja!

Oh iya mereka juga punya 2 meeting room ya!

Btw Dingo ini udah ada 3 cabang, UII, UMY dan Maguwoharjo, nah buat yang nyari coffee shop 24 jam kalian bisa ke cabangnya yang di Maguwo ya karena di bulan Desember ini khusus cabang Maguwo buka 24 jam.

Dingo Coffee @dingo.idn
08:30 ——— 24:00
Jalan Kaliurang KM 14.5 Sleman (utara UII)

#coffeeshopjogja #jogjacoffeeshop","salah satu andalan warga jakal atas buat wfc-an nih, masih ada promo ngopi pagi 15rb aja 
buat kalian yang nugas harus di coffee shop dan ditemenin es kopi susu tempat ini bakalan cocok karena vibesnya emang dibikin buat nugas banget dan ada banyak pilihan menu es kopi susu maupun non coffee, range harganya ada di 14rb-24rb aja 
oh iya mereka juga punya 2 meeting room ya 
btw dingo ini udah ada 3 cabang, uii, umy dan maguwoharjo, nah buat yang nyari coffee shop 24 jam kalian bisa ke cabangnya yang di maguwo ya karena di bulan desember ini khusus cabang maguwo buka 24 jam.
dingo coffee @dingo.idn
08 30 - 24 00
jalan kaliurang km 14.5 sleman utara uii 
#coffeeshopjogja #jogjacoffeeshop",Dingo Coffee,24 Jam,Jalan Kaliurang KM 14.5 Sleman (utara UII),Sleman,@dingo.idn,00:00,23:59,True,False,['kopi'],['wfc']
"Baru di Jogja! —— Filosofi Kopi buka di UGM!

Akhirnya ada cabang baru @filosofikopi yang nggak jauh dari kota. Tempat barunya ini mereka berkolaborasi bersama KAGAMA & UGM menempati sebuah Flat dengan arsitektur indis di daerah Sekip. Cek detailnya di feed sebelum postingan ini ya! 🙌🏻

GUYUB Filosofi Kopi @filosofikopi 
07:00 ——— 22:00
UGM - Flat E, Sekip, Yogyakarta 

#coffeeshopjogja #jogjacoffeeshop #FilosofiKopi #FilkopJogja #FilkopUGM #GuyubFilosofiKopi","baru di jogja - filosofi kopi buka di ugm 
akhirnya ada cabang baru @filosofikopi yang nggak jauh dari kota. tempat barunya ini mereka berkolaborasi bersama kagama ugm menempati sebuah flat dengan arsitektur indis di daerah sekip. cek detailnya di feed sebelum postingan ini ya 
guyub filosofi kopi @filosofikopi 
07 00 - 22 00
ugm - flat e, sekip, yogyakarta 
#coffeeshopjogja #jogjacoffeeshop #filosofikopi #filkopjogja #filkopugm #guyubfilosofikopi",GUYUB Filosofi Kopi,07:00 - 22:00,"UGM - Flat E, Sekip, Yogyakarta",Yogyakarta,@filosofikopi,07:00,22:00,False,False,['kopi'],[]
"Baru! —— Filosofi Kopi buka di UGM!

Dulu pernah nyeletuk “di sini (deretan flat sekip UGM) kalau ada coffee shop seru kali ya” eh beneran ada dong dan ini @filosofikopi yang buka !

Bayangin aja ngopi dengan vibes tenang, damai, teduh banyak pohon khas kawasan sekip UGM, beneran bikin betah dan pengen lama-lama! ✨😍

Gas guys, mumpung masih baru banget!

Guyub Filosofi Kopi @filosofikopi 
07:00 ——— 22:00
UGM - Flat E, Sekip, Yogyakarta 

#coffeeshopjogja #jogjacoffeeshop #FilosofiKopi #FilkopJogja #FilkopUGM #GuyubFilosofiKopi","baru - filosofi kopi buka di ugm 
dulu pernah nyeletuk di sini deretan flat sekip ugm kalau ada coffee shop seru kali ya eh beneran ada dong dan ini @filosofikopi yang buka 
bayangin aja ngopi dengan vibes tenang, damai, teduh banyak pohon khas kawasan sekip ugm, beneran bikin betah dan pengen lama-lama 
gas guys, mumpung masih baru banget 
guyub filosofi kopi @filosofikopi 
07 00 - 22 00
ugm - flat e, sekip, yogyakarta 
#coffeeshopjogja #jogjacoffeeshop #filosofikopi #filkopjogja #filkopugm #guyubfilosofikopi",Guyub Filosofi Kopi,07:00 - 22:00,"UGM - Flat E, Sekip, Yogyakarta",Yogyakarta,@filosofikopi,07:00,22:00,False,False,['kopi'],[]
"Salah satu coffee shop di Jogja yang bisa kapan aja kalian datengin karena buka 24 jam yang tempatnya super proper dan aesthetic! 

Beneran kalau kalian lagi cari tempat yang bener-bener proper dan nyaman no excuse buat kerja, nugas, meeting atau sekedar me time minum kopi sambil ejoy the vibes tempat ini highly recommend dan sangat worth the price! Tempatnya luas banyak pilihan tempat duduk ada communal table gede dan sangat tenang meski di tengah kota.

Nama tempatnya @inspiraroasters yang lokasinya ada di @gaiacosmohotel ya. Nah bulan Desember ini mereka baru ada seasonal menu Winter Cloud (50K) dan Nutcracker Latte (45K) yang unik banget. Selain itu buat kalian yang lagi suka dirty ada juga ya! Makanannya ada nggak? Tentu ada dong! Bener-bener paket lengkap tiap kali kesini karena emang semuanya proper! Parkir gampang ada yang ngarahin, meja kursi ergonomis, mushola luas & bersih ✨

Inspira Roasters @inspiraroasters @gaiacosmohotel 
24 JAM
Jl. Ipda Tut Harsono, Muja Muju, Umbulharjo, Yogyakarta

#coffeeshopjogja #jogjacoffeeshop","salah satu coffee shop di jogja yang bisa kapan aja kalian datengin karena buka 24 jam yang tempatnya super proper dan aesthetic 
beneran kalau kalian lagi cari tempat yang bener-bener proper dan nyaman no excuse buat kerja, nugas, meeting atau sekedar me time minum kopi sambil ejoy the vibes tempat ini highly recommend dan sangat worth the price tempatnya luas banyak pilihan tempat duduk ada communal table gede dan sangat tenang meski di tengah kota.
nama tempatnya @inspiraroasters yang lokasinya ada di @gaiacosmohotel ya. nah bulan desember ini mereka baru ada seasonal menu winter cloud 50k dan nutcracker latte 45k yang unik banget. selain itu buat kalian yang lagi suka dirty ada juga ya makanannya ada nggak tentu ada dong bener-bener paket lengkap tiap kali kesini karena emang semuanya proper parkir gampang ada yang ngarahin, meja kursi ergonomis, mushola luas bersih 
inspira roasters @inspiraroasters @gaiacosmohotel 
24 jam
jl. ipda tut harsono, muja muju, umbulharjo, yogyakarta
#coffeeshopjogja #jogjacoffeeshop",Nama tempatnya,24 Jam,"Jl. Ipda Tut Harsono, Muja Muju, Umbulharjo, Yogyakarta",Yogyakarta,"@gaiacosmohotel, @inspiraroasters",00:00,23:59,True,False,"['kopi', 'makanan']","['wfc', 'dating']"
"Nih buat kalian yang lagi cari coworking space dengan semi-private seating, area luas, banyak pilihan tempat duduk, wifi kencang, ada mushola, dan es kopi susu yang balance, tempat ini bisa kalian save ya! Cek detailnya di foto!

Ini Kopi Ulon @inikopiulon.sagan 
09:00 ——— 20:00
Sagan, Yogyakarta

#referensikopi #jogjacoffeeshop #coffeeshopjogja #coworkingspacejogja","nih buat kalian yang lagi cari coworking space dengan semi-private seating, area luas, banyak pilihan tempat duduk, wifi kencang, ada mushola, dan es kopi susu yang balance, tempat ini bisa kalian save ya cek detailnya di foto 
ini kopi ulon @inikopiulon.sagan 
09 00 - 20 00
sagan, yogyakarta
#referensikopi #jogjacoffeeshop #coffeeshopjogja #coworkingspacejogja",Ini Kopi Ulon,09:00 - 20:00,"Sagan, Yogyakarta",Yogyakarta,@inikopiulon.sagan,09:00,20:00,False,False,['kopi'],['wfc']
"Kalau kalian lagi nyari tempat nyaman buat WFC tapi juga mau kopi enak, @kemari.coffee ini bisa jadi pilihan ya! 

Vibesnya udah mendukung banget buat WFC, meja kursi ergonomis, ac adem dan pencahayaan yang enak dimata. Selain itu mereka ini sangat concern di menu kopinya, kemarin nyobain mulai dari filter, white dan dirty latte enak semua! Makanannya gimana? Sama enaknya apalagi kemarin nyobain sapi asapnya bener-bener bikin nagih!

Kemari Coffee & Space @kemari.coffee
08:00 ——— 24:00
Pandega Mandala, Manggung, Caturtunggal, Depok, Sleman, Yogyakarta (Jakal Bawah)

#coffeeshopjogja #jogjacoffeeshop","kalau kalian lagi nyari tempat nyaman buat wfc tapi juga mau kopi enak, @kemari.coffee ini bisa jadi pilihan ya 
vibesnya udah mendukung banget buat wfc, meja kursi ergonomis, ac adem dan pencahayaan yang enak dimata. selain itu mereka ini sangat concern di menu kopinya, kemarin nyobain mulai dari filter, white dan dirty latte enak semua makanannya gimana sama enaknya apalagi kemarin nyobain sapi asapnya bener-bener bikin nagih 
kemari coffee space @kemari.coffee
08 00 - 24 00
pandega mandala, manggung, caturtunggal, depok, sleman, yogyakarta jakal bawah 
#coffeeshopjogja #jogjacoffeeshop",Kemari Coffee & Space,08:00 - 24:00,"Pandega Mandala, Manggung, Caturtunggal, Depok, Sleman, Yogyakarta (Jakal Bawah)",Sleman,@kemari.coffee,08:00,23:59,False,False,"['kopi', 'makanan']",['wfc']
"Udah akhir tahun aja ya, nih ada rekomendasi tempat asik buat kalian yang mau liburan ke Jogja tapi bingung mau kemana atau kalian yang udah di Jogja tapi pengen vibes yang deket sama alam 🍃

Kemarin motoran lagi pakai #YamahaGrandFilano yang irit dan punya bagasi luas ini ke daerah Jogja utara tapi nggak yang jauh-jauh banget dan nemuin tempat asik ini yang super nenangin banget!

Nama tempatnya @djiwana.id, ini tu jadi satu sama villa gitu yang lokasinya ada di sekitaran Jl Magelang nggak jauh dari Jombor. Biasanya kan tempat tipikal kayak gini cukup jauh ya, tapi ini enggak!

Pas masuk kita bakal disambut sama staf yang ramah, nah kebetulan pas dateng tempatnya baru penuh dan harus nunggu bentar. Better kalau kesini kalian reservasi dulu biar langsung dapet tempat yang kalian mau ya!

Buat vibes dan detailnya cek di foto aja ya! Udah mewakili banget kok 👌🏻

#Filano #ClassyYamaha #ClassyEasyEveryday

Djiwana Cafe & Eatery
11:00 ——— 22:00
Jl. Jatirejo, Jongke Tengah, Sendangadi, Mlati, Sleman, Yogyakarta

#jogjacoffeeshop #hiddengemjogja #cafejogja #coffeeshopjogja","udah akhir tahun aja ya, nih ada rekomendasi tempat asik buat kalian yang mau liburan ke jogja tapi bingung mau kemana atau kalian yang udah di jogja tapi pengen vibes yang deket sama alam 
kemarin motoran lagi pakai #yamahagrandfilano yang irit dan punya bagasi luas ini ke daerah jogja utara tapi nggak yang jauh-jauh banget dan nemuin tempat asik ini yang super nenangin banget 
nama tempatnya @djiwana.id, ini tu jadi satu sama villa gitu yang lokasinya ada di sekitaran jl magelang nggak jauh dari jombor. biasanya kan tempat tipikal kayak gini cukup jauh ya, tapi ini enggak 
pas masuk kita bakal disambut sama staf yang ramah, nah kebetulan pas dateng tempatnya baru penuh dan harus nunggu bentar. better kalau kesini kalian reservasi dulu biar langsung dapet tempat yang kalian mau ya 
buat vibes dan detailnya cek di foto aja ya udah mewakili banget kok 
#filano #classyyamaha #classyeasyeveryday
djiwana cafe eatery
11 00 - 22 00
jl. jatirejo, jongke tengah, sendangadi, mlati, sleman, yogyakarta
#jogjacoffeeshop #hiddengemjogja #cafejogja #coffeeshopjogja",Djiwana Cafe & Eatery,11:00 - 22:00,"Jl. Jatirejo, Jongke Tengah, Sendangadi, Mlati, Sleman, Yogyakarta",Sleman,@djiwana.id,11:00,22:00,False,False,['makanan'],['dating']
"Beberapa hari lalu kami mendatangi grand opening sebuah coffee shop di seturan yang luasnya 9-10 kali lapangan padel.

Letaknya agak masuk sedikit ke dalam dan sesampainya di dalam langsung dibikin melongo karena luasnya. Luas bangunannya 11-12 dengan gerai koat coffee yang sebelum-sebelumnya namun kali ini lebih luas berkali-kali lipat terutama untuk area parkirnya. Kayak lapangan!

Karena didukung dengan area parkir super luas koat coffee seturan ini cocok buat kalian yang mau ngadain community gathering, atau ya sesimpel buat kalian yang males kalau ke coffee shop dan parkirnya susah, di tempat ini bahkan buat belajar nyetir mobil juga bisa tuh kalau pas masih kosong. 😁

Selain itu pastinya juga nyaman buat WFC atau seledar nongkrong bareng temen-temen ya mereka juga punya ruang smoking AC.

Koat Coffee Seturan @koatcoffee.idn
24 JAM
Kledokan, Caturtunggal, Depok, Sleman, Yogyakarta

#coffeeshopjogja #jogjacoffeeshop #coffeeshop24jamjogja #koatcoffee","beberapa hari lalu kami mendatangi grand opening sebuah coffee shop di seturan yang luasnya 9-10 kali lapangan padel.
letaknya agak masuk sedikit ke dalam dan sesampainya di dalam langsung dibikin melongo karena luasnya. luas bangunannya 11-12 dengan gerai koat coffee yang sebelum-sebelumnya namun kali ini lebih luas berkali-kali lipat terutama untuk area parkirnya. kayak lapangan 
karena didukung dengan area parkir super luas koat coffee seturan ini cocok buat kalian yang mau ngadain community gathering, atau ya sesimpel buat kalian yang males kalau ke coffee shop dan parkirnya susah, di tempat ini bahkan buat belajar nyetir mobil juga bisa tuh kalau pas masih kosong. 
selain itu pastinya juga nyaman buat wfc atau seledar nongkrong bareng temen-temen ya mereka juga punya ruang smoking ac.
koat coffee seturan @koatcoffee.idn
24 jam
kledokan, caturtunggal, depok, sleman, yogyakarta
#coffeeshopjogja #jogjacoffeeshop #coffeeshop24jamjogja #koatcoffee",Koat Coffee Seturan,24 Jam,"Kledokan, Caturtunggal, Depok, Sleman, Yogyakarta",Sleman,@koatcoffee.idn,00:00,23:59,True,False,[],"['wfc', 'hangout']"
"Salah satu coffee shop & restoran super estetik baru di Jogja yang bisa kalian datengin pas liburan besok bareng temen atau keluarga nih!

Serius tempatnya bener-bener cakep banget! Shout out buat tim arsiteknya 👏 

Jadi ini tu dalam satu tempat ada 2 brand resto & coffee (@idhumresto dan @7clover.coffee) yang lokasinya ada di Condongcatur. Kemarin pas motoran pakai #YamahaGrandFilano yang irit & punya bagasi luas ini kebetulan lewat dan langsung mampir.

Walaupun dalam satu atap misal kalian cuma pengen ngopi atau makan aja gamasalah karena emang terpisah gitu antara resto dan coffeeshopnya. 

Secara umum, tempat ini tampaknya memang didesain untuk hanging out menikmati kopi dan makan, bukan untuk WFC atau nugas ya!

Detail vibes dan lainnya cek di foto ya!

#Filano #ClassyYamaha #ClassyEasyEveryday

Idhum // 7 Clover Coffee 
07:00 ——— 22:00
Jl. Sukoharjo, Gejayan, Condongcatur, Depok, Sleman, Yogyakarta

#jogjacoffeeshop #hiddengemjogja #cafejogja #coffeeshopjogja","salah satu coffee shop restoran super estetik baru di jogja yang bisa kalian datengin pas liburan besok bareng temen atau keluarga nih 
serius tempatnya bener-bener cakep banget shout out buat tim arsiteknya 
jadi ini tu dalam satu tempat ada 2 brand resto coffee @idhumresto dan @7clover.coffee yang lokasinya ada di condongcatur. kemarin pas motoran pakai #yamahagrandfilano yang irit punya bagasi luas ini kebetulan lewat dan langsung mampir.
walaupun dalam satu atap misal kalian cuma pengen ngopi atau makan aja gamasalah karena emang terpisah gitu antara resto dan coffeeshopnya. 
secara umum, tempat ini tampaknya memang didesain untuk hanging out menikmati kopi dan makan, bukan untuk wfc atau nugas ya 
detail vibes dan lainnya cek di foto ya 
#filano #classyyamaha #classyeasyeveryday
idhum 7 clover coffee 
07 00 - 22 00
jl. sukoharjo, gejayan, condongcatur, depok, sleman, yogyakarta
#jogjacoffeeshop #hiddengemjogja #cafejogja #coffeeshopjogja",Idhum // 7 Clover Coffee,07:00 - 22:00,"Jl. Sukoharjo, Gejayan, Condongcatur, Depok, Sleman, Yogyakarta",Sleman,"@7clover.coffee, @idhumresto",07:00,22:00,False,False,"['kopi', 'makanan', 'dessert']","['wfc', 'dating']"
"Resign dari bandara nekat buka roastery sendiri!

Iya, buat sebagian orang mungkin kerja di bandara udah enak dan “safe” ya tapi enggak buat Mas Imam, owner dari tempat ini yang memutuskan resign dan ngejar passionnya buat buka roastery sendiri.

Jadi belum lama ini kami datang ke salah satu roastery di Jogja yang lokasinya cukup tersembunyi, ada di area pemukiman warga dan di gang buntu!

Tapi tenang, tempatnya cukup mudah ditemukan kok dan sesampainya di lokasi kayaknya kalian pun bakal cukup betah karena menunya dan obrolan ringan dari mas Santos dan mas Imam seperti yang kami rasakan. Serius kami baru pertama kali kesini tapi rasanya udah kayak temenan lama. 

Kalau kalian lagi pengen cari beans berkualitas atau sekedar ngopi atau bertukar cerita langsung agendain aja ya! Nanti ketemu mas Santos dan mas Imam 🤝 

Kranesia @kranesia_official
08:00 — 18:00 | Minggu 10:00 — 18:00
Kradenan, Maguwoharjo, Sleman, Yogyakarta

#coffeeshopjogja #jogjacoffeeshop #roasteryjogja #kranesia","resign dari bandara nekat buka roastery sendiri 
iya, buat sebagian orang mungkin kerja di bandara udah enak dan safe ya tapi enggak buat mas imam, owner dari tempat ini yang memutuskan resign dan ngejar passionnya buat buka roastery sendiri.
jadi belum lama ini kami datang ke salah satu roastery di jogja yang lokasinya cukup tersembunyi, ada di area pemukiman warga dan di gang buntu 
tapi tenang, tempatnya cukup mudah ditemukan kok dan sesampainya di lokasi kayaknya kalian pun bakal cukup betah karena menunya dan obrolan ringan dari mas santos dan mas imam seperti yang kami rasakan. serius kami baru pertama kali kesini tapi rasanya udah kayak temenan lama. 
kalau kalian lagi pengen cari beans berkualitas atau sekedar ngopi atau bertukar cerita langsung agendain aja ya nanti ketemu mas santos dan mas imam 
kranesia @kranesia official
08 00 - 18 00 minggu 10 00 - 18 00
kradenan, maguwoharjo, sleman, yogyakarta
#coffeeshopjogja #jogjacoffeeshop #roasteryjogja #kranesia",Kranesia,08:00 - 18:00,"Kradenan, Maguwoharjo, Sleman, Yogyakarta",Sleman,@kranesia_official,08:00,18:00,False,False,[],['wfc']
